,generation,params,ecological_impact,economic_impact,adjusted_score,ok_satisfaction,high_sat,med_sat,low_sat,simulation
PF,1,1.829816801975609,0.7921739130434783,0.8275413313642276,-0.043849972983598606,1.0,0.9227779465594332,0.8856598053943777,0.8642387919131497,<src.core.WaterManagementSimulation object at 0x0000017338687320>
PG,1,0.7730880206881267,0.7921739130434783,0.8275413313642276,-0.043849972983598606,1.0,0.9227779465594332,0.8856598053943777,0.8642387919131497,<src.core.WaterManagementSimulation object at 0x0000017338687320>
WF_EF,1,0.6394440196468756,0.7921739130434783,0.8275413313642276,-0.043849972983598606,1.0,0.9227779465594332,0.8856598053943777,0.8642387919131497,<src.core.WaterManagementSimulation object at 0x0000017338687320>
PUR,1,0.4177433759484674,0.7921739130434783,0.8275413313642276,-0.043849972983598606,1.0,0.9227779465594332,0.8856598053943777,0.8642387919131497,<src.core.WaterManagementSimulation object at 0x0000017338687320>
SUB_BC,1,4.38925686269261,0.7921739130434783,0.8275413313642276,-0.043849972983598606,1.0,0.9227779465594332,0.8856598053943777,0.8642387919131497,<src.core.WaterManagementSimulation object at 0x0000017338687320>
FIN_BC,1,-0.0364897509663751,0.7921739130434783,0.8275413313642276,-0.043849972983598606,1.0,0.9227779465594332,0.8856598053943777,0.8642387919131497,<src.core.WaterManagementSimulation object at 0x0000017338687320>
WF_SF,1,11.69362187442358,0.7921739130434783,0.8275413313642276,-0.043849972983598606,1.0,0.9227779465594332,0.8856598053943777,0.8642387919131497,<src.core.WaterManagementSimulation object at 0x0000017338687320>
ANT_C_F,1,0.9306026938953641,0.7921739130434783,0.8275413313642276,-0.043849972983598606,1.0,0.9227779465594332,0.8856598053943777,0.8642387919131497,<src.core.WaterManagementSimulation object at 0x0000017338687320>
ANT_N_F,1,0.193097631948714,0.7921739130434783,0.8275413313642276,-0.043849972983598606,1.0,0.9227779465594332,0.8856598053943777,0.8642387919131497,<src.core.WaterManagementSimulation object at 0x0000017338687320>
CF,1,1.7088120553886492,0.7921739130434783,0.8275413313642276,-0.043849972983598606,1.0,0.9227779465594332,0.8856598053943777,0.8642387919131497,<src.core.WaterManagementSimulation object at 0x0000017338687320>
CG,1,0.3867201627849037,0.7921739130434783,0.8275413313642276,-0.043849972983598606,1.0,0.9227779465594332,0.8856598053943777,0.8642387919131497,<src.core.WaterManagementSimulation object at 0x0000017338687320>
