ecological_impact,economic_impact,bias,uncertainty,scarcity,scenario,station,raw_ecological_impact,raw_economic_impact,cooperation_percentage,priority_ok,scarcity_color,scenario_color,scenario_name,station_color
0.6814814814814815,-0.8599919278181325,0.0,0.0,low,0.yml,1,674.0,-1614.7977926706653,0.9405714285714286,1.0,yellow,blue,0,green
0.6814814814814815,-0.7108052001152456,0.0,0.25,low,0.yml,1,674.0,-1334.6714440413475,0.9388857142857143,0.0,yellow,blue,0,green
0.6804232804232804,-0.43335821738825425,0.0,0.5,low,0.yml,1,673.0,-813.7121643102622,0.9499428571428571,1.0,yellow,blue,0,green
0.6783068783068783,-0.3068207600418899,0.25,0.0,low,0.yml,1,671.0,-576.1141122779889,0.9539428571428571,1.0,yellow,blue,0,green
0.6814814814814815,-0.2982994101603779,0.25,0.25,low,0.yml,1,674.0,-560.1136632805769,0.9570857142857143,1.0,yellow,blue,0,green
0.6835978835978836,-0.5396713588263794,0.25,0.5,low,0.yml,1,676.0,-1013.3352311938314,0.9446285714285715,1.0,yellow,blue,0,green
0.6687830687830688,-0.764597944543728,-0.25,0.0,low,0.yml,1,662.0,-1435.677514162485,0.9462285714285714,1.0,yellow,blue,0,green
0.6698412698412698,-0.6590525399358548,-0.25,0.25,low,0.yml,1,663.0,-1237.4960186457404,0.9454857142857143,1.0,yellow,blue,0,green
0.6846560846560846,-0.9101391572385208,-0.25,0.5,low,0.yml,1,677.0,-1708.9587176249718,0.9473428571428572,1.0,yellow,blue,0,green
0.6783068783068783,-0.44143106189030984,0.5,0.0,low,0.yml,1,671.0,-828.8704594765508,0.9548,1.0,yellow,blue,0,green
0.6793650793650794,-0.9954345103029999,0.5,0.25,low,0.yml,1,672.0,-1869.1169044617134,0.9303142857142858,0.0,yellow,blue,0,green
0.68994708994709,-1.0581383259944481,0.5,0.5,low,0.yml,1,682.0,-1986.8551993169544,0.9363428571428571,1.0,yellow,blue,0,green
0.692063492063492,-1.8941806146149947,-0.5,0.0,low,0.yml,1,684.0,-3556.6830065022455,0.9119428571428572,1.0,yellow,blue,0,green
0.6814814814814815,-1.5671734777009423,-0.5,0.25,low,0.yml,1,674.0,-2942.6651468043397,0.9181428571428571,1.0,yellow,blue,0,green
0.674074074074074,-1.3529165446665528,-0.5,0.5,low,0.yml,1,667.0,-2540.3571583955395,0.9204857142857142,1.0,yellow,blue,0,green
0.6857142857142857,-0.03372023475643475,0.0,0.0,low,1.yml,1,678.0,-138.36024731390592,0.9338571428571428,1.0,yellow,red,1,green
0.68994708994709,-0.3584854706151282,0.0,0.25,low,1.yml,1,682.0,-1470.9309923557403,0.9107428571428572,1.0,yellow,red,1,green
0.6666666666666666,-0.1438622001959788,0.0,0.5,low,1.yml,1,660.0,-590.2927349709477,0.9296,1.0,yellow,red,1,green
0.691005291005291,-0.23470340701560546,0.25,0.0,low,1.yml,1,683.0,-963.030704698716,0.928,1.0,yellow,red,1,green
0.671957671957672,-0.27795489776525073,0.25,0.25,low,1.yml,1,665.0,-1140.499426374032,0.9148571428571428,0.0,yellow,red,1,green
0.6708994708994709,-0.0536307567185827,0.25,0.5,low,1.yml,1,664.0,-220.05673497866186,0.9341428571428572,1.0,yellow,red,1,green
0.674074074074074,-0.14892092336309826,-0.25,0.0,low,1.yml,1,667.0,-611.0495948668197,0.9216857142857143,1.0,yellow,red,1,green
0.6687830687830688,0.11218615582368423,-0.25,0.25,low,1.yml,1,662.0,460.32017205927946,0.9391714285714285,1.0,yellow,red,1,green
0.6825396825396826,-0.3439352334529508,-0.25,0.5,low,1.yml,1,675.0,-1411.2287267346305,0.915,1.0,yellow,red,1,green
0.671957671957672,-0.011934282928651752,0.5,0.0,low,1.yml,1,665.0,-48.96853030381948,0.9394571428571429,1.0,yellow,red,1,green
0.68994708994709,-0.5587232797518038,0.5,0.25,low,1.yml,1,682.0,-2292.543089479657,0.8975714285714286,1.0,yellow,red,1,green
0.6708994708994709,0.17218000284222562,0.5,0.5,low,1.yml,1,664.0,706.485822172792,0.9486571428571429,1.0,yellow,red,1,green
0.7026455026455026,-0.3758932133313543,-0.5,0.0,low,1.yml,1,694.0,-1542.3581222316457,0.9125714285714286,0.0,yellow,red,1,green
0.6793650793650794,-0.3388469327863853,-0.5,0.25,low,1.yml,1,672.0,-1390.3505049868068,0.9132285714285714,0.0,yellow,red,1,green
0.7026455026455026,-0.48883021526202375,-0.5,0.5,low,1.yml,1,694.0,-2005.7591522329753,0.9036571428571428,1.0,yellow,red,1,green
0.6814814814814815,-0.27946342621608605,0.0,0.0,low,0-v.yml,1,674.0,-524.7455344503551,0.961,1.0,yellow,purple,0-v,green
0.6708994708994709,-0.0622014346534959,0.0,0.0,low,1-v.yml,1,664.0,-255.22378311127122,0.9309142857142857,1.0,yellow,orange,1-v,green
0.6825396825396826,-0.38788530747280203,0.0,0.0,low,0-b.yml,1,675.0,-728.3281598998012,0.9440285714285714,1.0,yellow,blue,0-b,green
0.6708994708994709,-0.06762178523465358,0.0,0.0,low,1-b.yml,1,664.0,-277.4644659639888,0.93,1.0,yellow,red,1-b,green
0.6814814814814815,-0.8758824973281899,0.0,0.0,low,0-c.yml,1,674.0,-1644.6353478140281,0.9408285714285715,0.0,yellow,blue,0-c,green
0.6804232804232804,-0.10211126019919124,0.0,0.0,low,1-c.yml,1,673.0,-418.9810455574798,0.9266857142857143,1.0,yellow,red,1-c,green
0.7441048034934498,-0.36736804586984556,0.0,0.0,medium,0.yml,1,882.0,-1005.01584287674,0.9456857142857142,0.0,orange,blue,0,green
0.7493449781659388,-0.26800072608743075,0.0,0.25,medium,0.yml,1,888.0,-733.1747511751837,0.9452285714285714,1.0,orange,blue,0,green
0.754585152838428,-0.38959287622346295,0.0,0.5,medium,0.yml,1,894.0,-1065.8167395844162,0.9443714285714285,0.0,orange,blue,0,green
0.777292576419214,-0.11941418021619271,0.25,0.0,medium,0.yml,1,920.0,-326.6836741264404,0.9541714285714286,0.0,orange,blue,0,green
0.7781659388646288,-0.15165173423654393,0.25,0.25,medium,0.yml,1,921.0,-414.87657193096646,0.9544,1.0,orange,blue,0,green
0.7694323144104803,-0.11364551313929407,0.25,0.5,medium,0.yml,1,911.0,-310.9022204324013,0.9508857142857143,1.0,orange,blue,0,green
0.7449781659388647,-0.44601638468529026,-0.25,0.0,medium,0.yml,1,883.0,-1220.1756190578822,0.9436285714285715,0.0,orange,blue,0,green
0.737117903930131,-0.7547426019501122,-0.25,0.25,medium,0.yml,1,874.0,-2064.763881294711,0.931,1.0,orange,blue,0,green
0.7441048034934498,-0.3991561829600878,-0.25,0.5,medium,0.yml,1,882.0,-1091.9792621245583,0.9484571428571429,1.0,orange,blue,0,green
0.7825327510917031,-0.6197582446036478,0.5,0.0,medium,0.yml,1,926.0,-1695.484573529889,0.9414857142857143,0.0,orange,blue,0,green
0.7868995633187773,-0.20016724769188513,0.5,0.25,medium,0.yml,1,931.0,-547.601397065029,0.9478571428571428,1.0,orange,blue,0,green
0.7816593886462883,0.013824648328752968,0.5,0.5,medium,0.yml,1,925.0,37.82035685683633,0.9557142857142857,1.0,orange,blue,0,green
0.7100436681222707,-2.3162334314748008,-0.5,0.0,medium,0.yml,1,843.0,-6336.564436139506,0.8716571428571429,1.0,orange,blue,0,green
0.7030567685589519,-1.844392067451939,-0.5,0.25,medium,0.yml,1,835.0,-5045.738923417712,0.8869714285714285,1.0,orange,blue,0,green
0.7135371179039302,-1.9340155991351766,-0.5,0.5,medium,0.yml,1,847.0,-5290.923746237418,0.8741142857142857,1.0,orange,blue,0,green
0.7685589519650655,-0.2513281372666321,0.0,0.0,medium,1.yml,1,910.0,-1525.9310014499176,0.8982571428571429,0.0,orange,red,1,green
0.7519650655021834,-0.1800813683566369,0.0,0.25,medium,1.yml,1,891.0,-1093.3584506194386,0.9054857142857143,0.0,orange,red,1,green
0.7668122270742358,-0.33692198296736575,0.0,0.5,medium,1.yml,1,908.0,-2045.6113846674432,0.9036,0.0,orange,red,1,green
0.8,-0.03225814138669011,0.25,0.0,medium,1.yml,1,946.0,-195.85430635203423,0.9270571428571428,1.0,orange,red,1,green
0.7903930131004366,-0.05869659850125143,0.25,0.25,medium,1.yml,1,935.0,-356.3745798891488,0.9269428571428572,1.0,orange,red,1,green
0.7834061135371179,-0.1561461924763362,0.25,0.5,medium,1.yml,1,927.0,-948.0367715662105,0.9194571428571429,1.0,orange,red,1,green
0.7947598253275109,-0.17652616032894392,-0.25,0.0,medium,1.yml,1,940.0,-1071.7731151887901,0.9187428571428572,1.0,orange,red,1,green
0.8331877729257642,-0.3961676232080772,-0.25,0.25,medium,1.yml,1,984.0,-2405.3194544731755,0.9002571428571429,1.0,orange,red,1,green
0.7650655021834061,-0.21274069250200928,-0.25,0.5,medium,1.yml,1,906.0,-1291.6485256656522,0.9158857142857143,0.0,orange,red,1,green
0.7764192139737991,-0.053893310209130504,0.5,0.0,medium,1.yml,1,919.0,-327.2115637877206,0.9265142857142857,1.0,orange,red,1,green
0.7781659388646288,-0.012429291012658501,0.5,0.25,medium,1.yml,1,921.0,-75.46405543179318,0.9320285714285714,1.0,orange,red,1,green
0.7834061135371179,0.24749890581468548,0.5,0.5,medium,1.yml,1,927.0,1502.6819412857806,0.9526,1.0,orange,red,1,green
0.7921397379912664,-0.5303597791191756,-0.5,0.0,medium,1.yml,1,937.0,-3220.0629729790608,0.8898857142857143,1.0,orange,red,1,green
0.7842794759825328,-0.6971193982852842,-0.5,0.25,medium,1.yml,1,928.0,-4232.538835980378,0.8747714285714285,1.0,orange,red,1,green
0.7746724890829695,-0.37616080998712575,-0.5,0.5,medium,1.yml,1,917.0,-2283.848707639605,0.9035142857142857,1.0,orange,red,1,green
0.7441048034934498,0.019653809700845085,0.0,0.0,medium,0-v.yml,1,882.0,53.76730596006143,0.9548285714285715,1.0,orange,purple,0-v,green
0.7589519650655022,-0.176468113422156,0.0,0.0,medium,1-v.yml,1,899.0,-1071.4206851920164,0.9060285714285714,1.0,orange,orange,1-v,green
0.7589519650655022,-0.6685148309027203,0.0,0.0,medium,0-b.yml,1,899.0,-1828.8689062884205,0.9359142857142857,1.0,orange,blue,0-b,green
0.7816593886462883,-0.2689587346466649,0.0,0.0,medium,1-b.yml,1,925.0,-1632.9746273998944,0.9067714285714286,1.0,orange,red,1-b,green
0.7537117903930131,-0.23623441273283963,0.0,0.0,medium,0-c.yml,1,893.0,-646.2710355415657,0.9576285714285714,1.0,orange,blue,0-c,green
0.7633187772925765,-0.23523176742753776,0.0,0.0,medium,1-c.yml,1,904.0,-1428.2023904976952,0.9172,0.0,orange,red,1-c,green
0.7591549295774648,-0.3871610118423195,0.0,0.0,high,0.yml,1,1108.0,-1379.6175222742615,0.9425714285714286,0.0,red,blue,0,green
0.7485915492957746,-0.28862555585864397,0.0,0.25,high,0.yml,1,1093.0,-1028.4942493148235,0.9502285714285714,0.0,red,blue,0,green
0.747887323943662,-0.1942960934461768,0.0,0.5,high,0.yml,1,1092.0,-692.3587004596275,0.9553714285714285,1.0,red,blue,0,green
0.7591549295774648,-0.005819295261848118,0.25,0.0,high,0.yml,1,1108.0,-20.73659657084223,0.9644285714285714,1.0,red,blue,0,green
0.7598591549295775,-0.21932679209856876,0.25,0.25,high,0.yml,1,1109.0,-781.5536074862447,0.9524571428571429,1.0,red,blue,0,green
0.7640845070422535,-0.1935515591939315,0.25,0.5,high,0.yml,1,1115.0,-689.7056117732354,0.9494571428571429,0.0,red,blue,0,green
0.7056338028169014,-1.467823261418115,-0.25,0.0,high,0.yml,1,1032.0,-5230.471636123652,0.8861142857142857,0.0,red,blue,0,green
0.6971830985915493,-1.1982156840715308,-0.25,0.25,high,0.yml,1,1020.0,-4269.74644306948,0.8944857142857143,0.0,red,blue,0,green
0.6992957746478873,-0.912071588030358,-0.25,0.5,high,0.yml,1,1023.0,-3250.0946787680937,0.9286571428571428,1.0,red,blue,0,green
0.7654929577464789,-0.21892769118422858,0.5,0.0,high,0.yml,1,1117.0,-780.1314430695352,0.9528,0.0,red,blue,0,green
0.7640845070422535,0.119122813504897,0.5,0.25,high,0.yml,1,1115.0,424.4846866990261,0.9654285714285714,0.0,red,blue,0,green
0.7640845070422535,0.11286344483323028,0.5,0.5,high,0.yml,1,1115.0,402.1799234773539,0.9611714285714286,0.0,red,blue,0,green
0.6887323943661972,-2.072156949694084,-0.5,0.0,high,0.yml,1,1008.0,-7383.966745764811,0.8791714285714286,1.0,red,blue,0,green
0.6852112676056338,-1.6929061145316793,-0.5,0.25,high,0.yml,1,1003.0,-6032.536509963343,0.8902571428571429,1.0,red,blue,0,green
0.6753521126760563,-1.3617169259008741,-0.5,0.5,high,0.yml,1,989.0,-4852.370135129754,0.8965714285714286,1.0,red,blue,0,green
0.7598591549295775,-0.5547932597987386,0.0,0.0,high,1.yml,1,1109.0,-4438.331604686901,0.8708,0.0,red,red,1,green
0.7605633802816901,-0.1494405135852435,0.0,0.25,high,1.yml,1,1110.0,-1195.5202100087527,0.9224,0.0,red,red,1,green
0.745774647887324,-0.1244677224557941,0.0,0.5,high,1.yml,1,1089.0,-995.7385324748758,0.917,0.0,red,red,1,green
0.7873239436619718,-0.10999843954252449,0.25,0.0,high,1.yml,1,1148.0,-879.9846466500597,0.927,1.0,red,red,1,green
0.773943661971831,-0.3320060164230888,0.25,0.25,high,1.yml,1,1129.0,-2656.0394698582886,0.9091428571428571,0.0,red,red,1,green
0.7633802816901408,0.0598776800074598,0.25,0.5,high,1.yml,1,1114.0,479.01987794308474,0.9357142857142857,0.0,red,red,1,green
0.7035211267605633,-0.25662842707606565,-0.25,0.0,high,1.yml,1,1029.0,-2053.020721567497,0.8984,0.0,red,red,1,green
0.7422535211267606,-0.4937350507692815,-0.25,0.25,high,1.yml,1,1084.0,-3949.867525366025,0.8750571428571429,0.0,red,red,1,green
0.7246478873239437,-0.20136228274662749,-0.25,0.5,high,1.yml,1,1059.0,-1610.8930087407107,0.9086285714285715,0.0,red,red,1,green
0.7873239436619718,-0.18282881794166037,0.5,0.0,high,1.yml,1,1148.0,-1462.6257738105703,0.9084571428571429,0.0,red,red,1,green
0.782394366197183,-0.03200755470578204,0.5,0.25,high,1.yml,1,1141.0,-256.0596026183741,0.9382,1.0,red,red,1,green
0.773943661971831,-0.212048033684347,0.5,0.5,high,1.yml,1,1129.0,-1696.3787374676567,0.9183142857142857,0.0,red,red,1,green
