,generation,params,ecological_impact,economic_impact,adjusted_score,ok_satisfaction,high_sat,med_sat,low_sat,simulation
PF,1,0.923169746128622,0.8633540372670807,0.7576941714872717,-0.19199526950651713,1.0,0.7910708726755636,0.7674578976835947,0.7262085169366918,<src.core.WaterManagementSimulation object at 0x000002BE31DAF1D0>
PG,1,3.134280569167306,0.8633540372670807,0.7576941714872717,-0.19199526950651713,1.0,0.7910708726755636,0.7674578976835947,0.7262085169366918,<src.core.WaterManagementSimulation object at 0x000002BE31DAF1D0>
WF_EF,1,0.5249153269703366,0.8633540372670807,0.7576941714872717,-0.19199526950651713,1.0,0.7910708726755636,0.7674578976835947,0.7262085169366918,<src.core.WaterManagementSimulation object at 0x000002BE31DAF1D0>
PUR,1,1.3654859762448144,0.8633540372670807,0.7576941714872717,-0.19199526950651713,1.0,0.7910708726755636,0.7674578976835947,0.7262085169366918,<src.core.WaterManagementSimulation object at 0x000002BE31DAF1D0>
SUB_BC,1,1.2762318960146912,0.8633540372670807,0.7576941714872717,-0.19199526950651713,1.0,0.7910708726755636,0.7674578976835947,0.7262085169366918,<src.core.WaterManagementSimulation object at 0x000002BE31DAF1D0>
FIN_BC,1,0.23665103851503674,0.8633540372670807,0.7576941714872717,-0.19199526950651713,1.0,0.7910708726755636,0.7674578976835947,0.7262085169366918,<src.core.WaterManagementSimulation object at 0x000002BE31DAF1D0>
WF_SF,1,2.929036282337239,0.8633540372670807,0.7576941714872717,-0.19199526950651713,1.0,0.7910708726755636,0.7674578976835947,0.7262085169366918,<src.core.WaterManagementSimulation object at 0x000002BE31DAF1D0>
ANT_C_F,1,0.07719003050635477,0.8633540372670807,0.7576941714872717,-0.19199526950651713,1.0,0.7910708726755636,0.7674578976835947,0.7262085169366918,<src.core.WaterManagementSimulation object at 0x000002BE31DAF1D0>
ANT_N_F,1,0.10005576673596114,0.8633540372670807,0.7576941714872717,-0.19199526950651713,1.0,0.7910708726755636,0.7674578976835947,0.7262085169366918,<src.core.WaterManagementSimulation object at 0x000002BE31DAF1D0>
CF,1,1.7691822513316218,0.8633540372670807,0.7576941714872717,-0.19199526950651713,1.0,0.7910708726755636,0.7674578976835947,0.7262085169366918,<src.core.WaterManagementSimulation object at 0x000002BE31DAF1D0>
CG,1,0.1902360535111736,0.8633540372670807,0.7576941714872717,-0.19199526950651713,1.0,0.7910708726755636,0.7674578976835947,0.7262085169366918,<src.core.WaterManagementSimulation object at 0x000002BE31DAF1D0>
