,generation,params,ecological_impact,economic_impact,adjusted_score,ok_satisfaction,high_sat,med_sat,low_sat,simulation
PF,7,0.8229515953031026,0.768695652173913,0.4496917043487482,-0.3958735130425562,1.0,0.9410516226763058,0.8642028854598782,0.8408088899647485,<src.core.WaterManagementSimulation object at 0x000001BE97524A40>
PG,7,0.8684261453908445,0.768695652173913,0.4496917043487482,-0.3958735130425562,1.0,0.9410516226763058,0.8642028854598782,0.8408088899647485,<src.core.WaterManagementSimulation object at 0x000001BE97524A40>
WF_EF,7,0.7504353004846663,0.768695652173913,0.4496917043487482,-0.3958735130425562,1.0,0.9410516226763058,0.8642028854598782,0.8408088899647485,<src.core.WaterManagementSimulation object at 0x000001BE97524A40>
PUR,7,1.2186718419901656,0.768695652173913,0.4496917043487482,-0.3958735130425562,1.0,0.9410516226763058,0.8642028854598782,0.8408088899647485,<src.core.WaterManagementSimulation object at 0x000001BE97524A40>
SUB_BC,7,17.938292802672184,0.768695652173913,0.4496917043487482,-0.3958735130425562,1.0,0.9410516226763058,0.8642028854598782,0.8408088899647485,<src.core.WaterManagementSimulation object at 0x000001BE97524A40>
FIN_BC,7,0.11064604331989943,0.768695652173913,0.4496917043487482,-0.3958735130425562,1.0,0.9410516226763058,0.8642028854598782,0.8408088899647485,<src.core.WaterManagementSimulation object at 0x000001BE97524A40>
WF_SF,7,4.367390790498256,0.768695652173913,0.4496917043487482,-0.3958735130425562,1.0,0.9410516226763058,0.8642028854598782,0.8408088899647485,<src.core.WaterManagementSimulation object at 0x000001BE97524A40>
ANT_C_F,7,0.3368859870268492,0.768695652173913,0.4496917043487482,-0.3958735130425562,1.0,0.9410516226763058,0.8642028854598782,0.8408088899647485,<src.core.WaterManagementSimulation object at 0x000001BE97524A40>
ANT_N_F,7,0.10446230935451344,0.768695652173913,0.4496917043487482,-0.3958735130425562,1.0,0.9410516226763058,0.8642028854598782,0.8408088899647485,<src.core.WaterManagementSimulation object at 0x000001BE97524A40>
CF,7,1.8275003555261395,0.768695652173913,0.4496917043487482,-0.3958735130425562,1.0,0.9410516226763058,0.8642028854598782,0.8408088899647485,<src.core.WaterManagementSimulation object at 0x000001BE97524A40>
CG,7,0.19840937613478388,0.768695652173913,0.4496917043487482,-0.3958735130425562,1.0,0.9410516226763058,0.8642028854598782,0.8408088899647485,<src.core.WaterManagementSimulation object at 0x000001BE97524A40>
