ecological_impact,economic_impact,bias,uncertainty,scarcity,scenario,station,raw_ecological_impact,raw_economic_impact,cooperation_percentage,priority_ok,scarcity_color,scenario_color,scenario_name,station_color
0.7597883597883598,0.7572146653376949,0.0,0.0,low,0.yml,1,748.0,1421.8140084958427,0.4927714285714286,1.0,yellow,blue,0,green
0.765079365079365,0.7646700890838299,0.0,0.25,low,0.yml,1,753.0,1435.8129792062157,0.45277142857142855,1.0,yellow,blue,0,green
0.7555555555555555,0.7632245691266465,0.0,0.5,low,0.yml,1,744.0,1433.0987415946565,0.4596857142857143,1.0,yellow,blue,0,green
0.7597883597883598,0.7516761470935078,0.25,0.0,low,0.yml,1,748.0,1411.4143910737698,0.46931428571428574,1.0,yellow,blue,0,green
0.7555555555555555,0.7666791613516432,0.25,0.25,low,0.yml,1,744.0,1439.5853930608569,0.4453142857142857,1.0,yellow,blue,0,green
0.7597883597883598,0.7620984389775509,0.25,0.5,low,0.yml,1,748.0,1430.98421886462,0.48122857142857145,1.0,yellow,blue,0,green
0.7576719576719577,0.7795640239932891,-0.25,0.0,low,0.yml,1,746.0,1463.7791640481987,0.45977142857142855,1.0,yellow,blue,0,green
0.7608465608465609,0.759103730882991,-0.25,0.25,low,0.yml,1,749.0,1425.3610869905137,0.4638857142857143,1.0,yellow,blue,0,green
0.7555555555555555,0.7688210970449353,-0.25,0.5,low,0.yml,1,744.0,1443.6072831713207,0.4614285714285714,1.0,yellow,blue,0,green
0.7693121693121693,0.7394100323864335,0.5,0.0,low,0.yml,1,757.0,1388.38243657173,0.44048571428571426,1.0,yellow,blue,0,green
0.7756613756613756,0.7636719319877164,0.5,0.25,low,0.yml,1,763.0,1433.9387501310289,0.4426857142857143,0.0,yellow,blue,0,green
0.7597883597883598,0.7866605458180181,0.5,0.5,low,0.yml,1,748.0,1477.1042283976808,0.43057142857142855,1.0,yellow,blue,0,green
0.7714285714285715,0.7505840248219436,-0.5,0.0,low,0.yml,1,759.0,1409.3637245774892,0.4659714285714286,1.0,yellow,blue,0,green
0.7883597883597884,0.7323821432017656,-0.5,0.25,low,0.yml,1,775.0,1375.18624300823,0.4487714285714286,1.0,yellow,blue,0,green
0.8031746031746032,0.775026907561298,-0.5,0.5,low,0.yml,1,789.0,1455.2598682705545,0.4476,1.0,yellow,blue,0,green
0.7386243386243386,0.778680991078641,0.0,0.0,low,1.yml,1,728.0,3195.0695267244146,0.43825714285714285,1.0,yellow,red,1,green
