ecological_impact,economic_impact,bias,uncertainty,scarcity,scenario,station,raw_ecological_impact,raw_economic_impact,cooperation_percentage,priority_ok,scarcity_color,scenario_color,scenario_name,station_color
0.6973544973544974,-0.11203295168397416,0.0,0.0,low,0.yml,1,689.0,-210.363094389322,0.6266857142857143,0.0,yellow,blue,0,green
0.7047619047619048,-0.13740327389382714,0.0,0.25,low,0.yml,1,696.0,-258.0006814161596,0.6267714285714285,1.0,yellow,blue,0,green
0.6973544973544974,-0.12643651162972452,0.0,0.5,low,0.yml,1,689.0,-237.4085073224489,0.6520285714285714,1.0,yellow,blue,0,green
0.726984126984127,-0.08940022645348238,0.25,0.0,low,0.yml,1,717.0,-167.86586440131134,0.5757428571428571,1.0,yellow,blue,0,green
0.7142857142857143,-0.1321316374633602,0.25,0.25,low,0.yml,1,705.0,-248.10218516715705,0.6122571428571428,1.0,yellow,blue,0,green
0.7396825396825397,-0.14790557023065717,0.25,0.5,low,0.yml,1,729.0,-277.7207327260747,0.5895714285714285,1.0,yellow,blue,0,green
0.7206349206349206,-0.1448287692655084,-0.25,0.0,low,0.yml,1,711.0,-271.94345593277444,0.6166,1.0,yellow,blue,0,green
0.707936507936508,-0.08361282780182659,-0.25,0.25,low,0.yml,1,699.0,-156.99892685724723,0.5871714285714286,0.0,yellow,blue,0,green
0.7195767195767195,-0.13191620212468783,-0.25,0.5,low,0.yml,1,710.0,-247.6976644988828,0.6093142857142857,1.0,yellow,blue,0,green
0.707936507936508,-0.1637831124501247,0.5,0.0,low,0.yml,1,699.0,-307.53382666299063,0.6411714285714286,1.0,yellow,blue,0,green
0.7037037037037037,-0.10567949891745229,0.5,0.25,low,0.yml,1,695.0,-198.4332829906893,0.6172285714285715,0.0,yellow,blue,0,green
0.7248677248677249,-0.10909209727614134,0.5,0.5,low,0.yml,1,715.0,-204.8410830160495,0.5772571428571428,1.0,yellow,blue,0,green
0.7068783068783069,-0.0942822068028107,-0.5,0.0,low,0.yml,1,698.0,-177.03270752733673,0.6062571428571428,0.0,yellow,blue,0,green
0.7576719576719577,-0.1331515928197288,-0.5,0.25,low,0.yml,1,746.0,-250.01734460622905,0.5658285714285715,1.0,yellow,blue,0,green
0.7195767195767195,-0.12300864840921275,-0.5,0.5,low,0.yml,1,710.0,-230.97204462668515,0.5981428571428572,0.0,yellow,blue,0,green
