ecological_impact,economic_impact,bias,uncertainty,scarcity,scenario,station,raw_ecological_impact,raw_economic_impact,cooperation_percentage,priority_ok,scarcity_color,scenario_color,scenario_name,station_color
0.7862433862433862,0.8006906792727472,0.0,0.0,low,0.yml,1,773.0,1503.4484623384,0.4095428571428571,1.0,yellow,blue,0,green
0.7682539682539683,0.747789282629024,0.0,0.25,low,0.yml,1,756.0,1404.1160665725356,0.4290857142857143,1.0,yellow,blue,0,green
0.7735449735449735,0.7855701232300524,0.0,0.5,low,0.yml,1,761.0,1475.0567533794062,0.4206285714285714,1.0,yellow,blue,0,green
0.7703703703703704,0.7727006997806499,0.25,0.0,low,0.yml,1,758.0,1450.8919724008645,0.4415714285714285,0.0,yellow,blue,0,green
0.7746031746031746,0.7604160959172133,0.25,0.25,low,0.yml,1,762.0,1427.825301004495,0.4732571428571429,1.0,yellow,blue,0,green
0.7671957671957672,0.7516230317546743,0.25,0.5,low,0.yml,1,755.0,1411.3146569610055,0.4826857142857143,0.0,yellow,blue,0,green
0.7544973544973544,0.7627344325821394,-0.25,0.0,low,0.yml,1,743.0,1432.1784173630265,0.4936285714285714,1.0,yellow,blue,0,green
0.7566137566137566,0.7654822873672175,-0.25,0.25,low,0.yml,1,745.0,1437.338035375699,0.4629428571428571,1.0,yellow,blue,0,green
0.7513227513227513,0.7534924986126043,-0.25,0.5,low,0.yml,1,740.0,1414.8249352066575,0.4542285714285714,1.0,yellow,blue,0,green
0.7777777777777778,0.75698509635543,0.5,0.0,low,0.yml,1,765.0,1421.382949233731,0.4727142857142857,0.0,yellow,blue,0,green
0.7735449735449735,0.7663070299027399,0.5,0.25,low,0.yml,1,761.0,1438.886645755406,0.4491142857142857,1.0,yellow,blue,0,green
0.7682539682539683,0.7580892154224439,0.5,0.5,low,0.yml,1,756.0,1423.4561419865784,0.4391428571428571,1.0,yellow,blue,0,green
0.7894179894179895,0.7986187026282269,-0.5,0.0,low,0.yml,1,776.0,1499.5579335975954,0.4210285714285714,0.0,yellow,blue,0,green
0.7746031746031746,0.745566243365314,-0.5,0.25,low,0.yml,1,762.0,1399.941889141398,0.4745714285714286,1.0,yellow,blue,0,green
0.7883597883597884,0.7507564090731983,-0.5,0.5,low,0.yml,1,775.0,1409.6874086719706,0.4738571428571428,0.0,yellow,blue,0,green
0.725925925925926,0.7263125741336658,0.0,0.0,low,1.yml,1,716.0,2980.192401096996,0.4654,1.0,yellow,red,1,green
0.7164021164021164,0.7427285174995094,0.0,0.25,low,1.yml,1,707.0,3047.5499981124126,0.4814571428571428,1.0,yellow,red,1,green
0.7291005291005291,0.7190056952147394,0.0,0.5,low,1.yml,1,719.0,2950.210949852132,0.4695428571428571,1.0,yellow,red,1,green
0.7291005291005291,0.7530839435347947,0.25,0.0,low,1.yml,1,719.0,3090.0401918382886,0.4698857142857143,1.0,yellow,red,1,green
0.7111111111111111,0.7505825767252775,0.25,0.25,low,1.yml,1,702.0,3079.7766295325264,0.4912571428571428,1.0,yellow,red,1,green
0.7354497354497355,0.7510079911950153,0.25,0.5,low,1.yml,1,725.0,3081.522182363608,0.4445714285714285,1.0,yellow,red,1,green
0.744973544973545,0.7634038092485822,-0.25,0.0,low,1.yml,1,734.0,3132.384475106763,0.4720857142857143,1.0,yellow,red,1,green
0.7555555555555555,0.7311363349456212,-0.25,0.25,low,1.yml,1,744.0,2999.985167776887,0.4775142857142857,1.0,yellow,red,1,green
0.7587301587301587,0.7533427691867871,-0.25,0.5,low,1.yml,1,747.0,3091.1022004950946,0.4474285714285714,1.0,yellow,red,1,green
0.7206349206349206,0.7444586112603647,0.5,0.0,low,1.yml,1,711.0,3054.648887024581,0.4712,1.0,yellow,red,1,green
0.7174603174603175,0.7707129122069741,0.5,0.25,low,1.yml,1,708.0,3162.375051989474,0.4551428571428571,1.0,yellow,red,1,green
0.7312169312169312,0.7358625269889169,0.5,0.5,low,1.yml,1,721.0,3019.377592078993,0.4528571428571428,1.0,yellow,red,1,green
0.7312169312169312,0.7276322368304493,-0.5,0.0,low,1.yml,1,721.0,2985.607216812745,0.508,1.0,yellow,red,1,green
0.7756613756613756,0.6564359623876876,-0.5,0.25,low,1.yml,1,763.0,2693.475972446202,0.4503142857142857,1.0,yellow,red,1,green
0.7597883597883598,0.7181039416052319,-0.5,0.5,low,1.yml,1,748.0,2946.510891020132,0.4752285714285714,1.0,yellow,red,1,green
0.7724867724867724,0.7753429831472192,0.0,0.0,low,0-v.yml,1,760.0,1455.8533600719925,0.4172571428571429,1.0,yellow,purple,0-v,green
0.7238095238095238,0.7703189483458855,0.0,0.0,low,1-v.yml,1,714.0,3160.758546717589,0.4627142857142857,1.0,yellow,orange,1-v,green
0.7735449735449735,0.768468597511236,0.0,0.0,low,0-b.yml,1,761.0,1442.9453985064504,0.4681142857142857,1.0,yellow,blue,0-b,green
0.746031746031746,0.763315556909777,0.0,0.0,low,1-b.yml,1,735.0,3132.0223597326767,0.4560571428571429,1.0,yellow,red,1-b,green
0.7735449735449735,0.7478163793498996,0.0,0.0,low,0-c.yml,1,761.0,1404.1669458001695,0.4332285714285714,1.0,yellow,blue,0-c,green
0.708994708994709,0.7685514759009322,0.0,0.0,low,1-c.yml,1,700.0,3153.5062862760283,0.4887142857142857,1.0,yellow,red,1-c,green
0.919650655021834,0.7346613850022533,0.0,0.0,medium,0.yml,1,1083.0,2009.8273090921489,0.4242857142857142,0.0,orange,blue,0,green
0.8925764192139738,0.7515636487585824,0.0,0.25,medium,0.yml,1,1052.0,2056.0671577849507,0.4655428571428571,0.0,orange,blue,0,green
0.8951965065502183,0.7313220792594104,0.0,0.5,medium,0.yml,1,1055.0,2000.6919060175017,0.4882,0.0,orange,blue,0,green
0.903056768558952,0.72128451542299,0.25,0.0,medium,0.yml,1,1064.0,1973.2319491897288,0.4631428571428571,1.0,orange,blue,0,green
0.9109170305676856,0.7119284055181885,0.25,0.25,medium,0.yml,1,1073.0,1947.636259015432,0.4388571428571428,0.0,orange,blue,0,green
0.8873362445414847,0.730678492716994,0.25,0.5,medium,0.yml,1,1046.0,1998.931233910435,0.4716,1.0,orange,blue,0,green
0.9074235807860264,0.7329056026276247,-0.25,0.0,medium,0.yml,1,1069.0,2005.0239814130432,0.4495142857142857,1.0,orange,blue,0,green
0.8585152838427947,0.7252344435245056,-0.25,0.25,medium,0.yml,1,1013.0,1984.037843618701,0.4947142857142857,1.0,orange,blue,0,green
0.8995633187772926,0.72744397963329,-0.25,0.5,medium,0.yml,1,1060.0,1990.082514132922,0.4603714285714286,0.0,orange,blue,0,green
0.9266375545851528,0.743720303911837,0.5,0.0,medium,0.yml,1,1091.0,2034.6099681334656,0.4349428571428571,0.0,orange,blue,0,green
0.9082969432314412,0.7035988858567063,0.5,0.25,medium,0.yml,1,1070.0,1924.8490315538772,0.4324285714285714,1.0,orange,blue,0,green
0.9152838427947598,0.7156866019281,0.5,0.5,medium,0.yml,1,1078.0,1957.9176293606952,0.4619428571428571,1.0,orange,blue,0,green
0.8890829694323145,0.729110966090196,-0.5,0.0,medium,0.yml,1,1048.0,1994.6429211086693,0.4686571428571429,1.0,orange,blue,0,green
0.8480349344978166,0.7384383310998727,-0.5,0.25,medium,0.yml,1,1001.0,2020.159973319412,0.4694285714285714,1.0,orange,blue,0,green
0.8724890829694323,0.7254862468027904,-0.5,0.5,medium,0.yml,1,1029.0,1984.7267066997708,0.4733142857142857,1.0,orange,blue,0,green
0.834061135371179,0.7189474482116022,0.0,0.0,medium,1.yml,1,985.0,4365.0671650644745,0.4789142857142857,1.0,orange,red,1,green
0.8192139737991266,0.7138295975931238,0.0,0.25,medium,1.yml,1,968.0,4333.994293540978,0.4853142857142857,1.0,orange,red,1,green
0.8620087336244542,0.7258235962380067,0.0,0.5,medium,1.yml,1,1017.0,4406.8154848434015,0.4995142857142857,1.0,orange,red,1,green
0.8558951965065502,0.691914164536834,0.25,0.0,medium,1.yml,1,1010.0,4200.935420489628,0.4652,1.0,orange,red,1,green
